ID_cliente,Evasao,Genero,Cidadao_Senior,Parceiro,Dependentes,Tempo_de_contrato,Servico_de_telefone,Linhas_multiplas,Serivo_de_internet,Segurnaca_online,Backup_online,Protecao_dipositivo,Suporte_tecnico,Streaming_TV,Streaming_filmes,Tipo_de_contrato,Fatura_online,Metodo_de_pagamento,Total_servico_dia,Total_servico_mes,Total_gasto
0002-ORFBO,Nao,Mulher,Nao,Sim,Sim,9,Sim,Nao,DSL,Nao,Sim,Nao,Sim,Sim,Nao,Anual,Sim,Cheque,2.19,65.6,593.3
0003-MKNFE,Nao,Homem,Nao,Nao,Nao,9,Sim,Sim,DSL,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Nao,Cheque,2.0,59.9,542.4
0004-TLHLJ,Sim,Homem,Nao,Nao,Nao,4,Sim,Nao,Fiber optic,Nao,Nao,Sim,Nao,Nao,Nao,Mensal,Sim,Cheque eletrônico,2.46,73.9,280.85
0011-IGKFF,Sim,Homem,Sim,Sim,Nao,13,Sim,Nao,Fiber optic,Nao,Sim,Sim,Nao,Sim,Sim,Mensal,Sim,Cheque eletrônico,3.27,98.0,1237.85
0013-EXCHZ,Sim,Mulher,Sim,Sim,Nao,3,Sim,Nao,Fiber optic,Nao,Nao,Nao,Sim,Sim,Nao,Mensal,Sim,Cheque,2.8,83.9,267.4
0013-MHZWF,Nao,Mulher,Nao,Nao,Sim,9,Sim,Nao,DSL,Nao,Nao,Nao,Sim,Sim,Sim,Mensal,Sim,Cartão de crédito automático,2.31,69.4,571.45
0013-SMEOE,Nao,Mulher,Sim,Sim,Nao,71,Sim,Nao,Fiber optic,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Transferência bancária automático,3.66,109.7,7904.25
0014-BMAQU,Nao,Homem,Nao,Sim,Nao,63,Sim,Sim,Fiber optic,Sim,Nao,Nao,Sim,Nao,Nao,Bienal,Sim,Cartão de crédito automático,2.82,84.65,5377.8
0015-UOCOJ,Nao,Mulher,Sim,Nao,Nao,7,Sim,Nao,DSL,Sim,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,Cheque eletrônico,1.61,48.2,340.35
0016-QLJIS,Nao,Mulher,Nao,Sim,Sim,65,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Cheque,3.02,90.45,5957.9
